iter	Logloss
0	0.6583953084
1	0.6427023712
2	0.6306057127
3	0.6213130729
4	0.6141602164
5	0.6090209613
6	0.603627705
7	0.598091601
8	0.5942974097
9	0.5907309464
10	0.5875945155
11	0.5844160409
12	0.5815752316
13	0.5788974447
14	0.5764695996
15	0.5743032431
16	0.5721007538
17	0.5700837824
18	0.5680821984
19	0.5662040462
20	0.5643296779
21	0.5628190375
22	0.5613954879
23	0.5598776562
24	0.558697896
25	0.5575362713
26	0.5563218337
27	0.5552100801
28	0.5540838666
29	0.5528608159
30	0.5519240032
31	0.5510045613
32	0.5501801117
33	0.5489750736
34	0.5481815631
35	0.5472088504
36	0.5461309675
37	0.5452144152
38	0.5445159476
39	0.5437409833
40	0.5430261802
41	0.5423900253
42	0.5417246917
43	0.5410391931
44	0.5402495686
45	0.5396427821
46	0.5390343327
47	0.5383610836
48	0.5377962899
49	0.5372824123
50	0.5367379438
51	0.5362220566
52	0.5356041109
53	0.5351148976
54	0.534587051
55	0.5341721331
56	0.5336785231
57	0.5332349337
58	0.5328582695
59	0.532248622
60	0.5318197992
61	0.5314492486
62	0.5310943796
63	0.5307246712
64	0.530391131
65	0.5300155094
66	0.5296609651
67	0.529227808
68	0.5289135238
69	0.5286036861
70	0.5282749898
71	0.5279531092
72	0.5276098403
73	0.5272847697
74	0.526935931
75	0.5265827911
76	0.5262239073
77	0.5259561519
78	0.5254461194
79	0.5251722384
80	0.5249172792
81	0.5245815008
82	0.524287263
83	0.5239256185
84	0.52362828
85	0.5234081484
86	0.5231813462
87	0.5229099717
88	0.5226586432
89	0.5224652018
90	0.522216172
91	0.5218793093
92	0.5216454169
93	0.5214469007
94	0.5212467098
95	0.5210159887
96	0.520781701
97	0.5204799486
98	0.5201959397
99	0.5199873994
